Item,Description,Type,Lot No.,Exp Date,Cost,Quantity On Hand,Quantity On Sales Order,Quantity On Purchase Order,U/M
Delivery Charge,Delivery Charge,Service,,, 0.00 ,,,,
Preventive Maintenance,One Time Preventive Maintenance,Service,,, 0.00 ,,,,unit (unit)
Service Charge,,Service,,, 0.00 ,,,,
ADC Products,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
ADC Products:ADC Equipment,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
ADC Products:ADC Equipment:Chem2910 (2910-4136),Chemwell 2910 Chemistry Analyzer (2910-4136),Inventory Part,,," 1,000,000.00 ",0.00,0.00,0.00,unit (unit)
AHSIC Products,AHSIC Products,Inventory Part,,,,0.00,0.00,0.00,
AHSIC Products:AHSIC Consumables,AHSIC Consumables,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
AHSIC Products:AHSIC Reagents,,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Antone Products,Antone Products,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Antone Products:Antone Consumables,Antone Consumables,Inventory Part,,, 0.00 ,0.00,0.00,0.00,
Antone Products:Antone Consumables:Ca (22G266),DH Ca Electrode,Inventory Part,22G266,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F454),DH Ca Electrode,Inventory Part,23F454,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F455),DH Ca Electrode,Inventory Part,23F455,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F456),DH Ca Electrode,Inventory Part,23F456,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F457),DH Ca Electrode,Inventory Part,23F457,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F458),DH Ca Electrode,Inventory Part,23F458,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F459),DH Ca Electrode,Inventory Part,23F459,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F460),DH Ca Electrode,Inventory Part,23F460,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F461),DH Ca Electrode,Inventory Part,23F461,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F462),DH Ca Electrode,Inventory Part,23F462,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F464),DH Ca Electrode,Inventory Part,23F464,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23F465),DH Ca Electrode,Inventory Part,23F465,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23K109),DH Ca Electrode,Inventory Part,23K109,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23K110),DH Ca Electrode,Inventory Part,23K110,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23K111),DH Ca Electrode,Inventory Part,23K111,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23K112),DH Ca Electrode,Inventory Part,23K112,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23K113),DH Ca Electrode,Inventory Part,23K113,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (23K114),DH Ca Electrode,Inventory Part,23K114,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (24C321),DH Ca Electrode,Inventory Part,24C321,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (24C322),DH Ca Electrode,Inventory Part,24C322,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (24C323),DH Ca Electrode,Inventory Part,24C323,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (24C324),DH Ca Electrode,Inventory Part,24C324,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (24J141),DH Ca Electrode,Inventory Part,24J141,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (24J142),DH Ca Electrode,Inventory Part,24J142,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B145),DH Ca Electrode,Inventory Part,25B145,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B146),DH Ca Electrode,Inventory Part,25B146,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B147),DH Ca Electrode,Inventory Part,25B147,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B148),DH Ca Electrode,Inventory Part,25B148,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B149),DH Ca Electrode,Inventory Part,25B149,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B150),DH Ca Electrode,Inventory Part,25B150,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B151),DH Ca Electrode,Inventory Part,25B151,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B152),DH Ca Electrode,Inventory Part,25B152,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B153),DH Ca Electrode,Inventory Part,25B153,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B154),DH Ca Electrode,Inventory Part,25B154,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B155),DH Ca Electrode,Inventory Part,25B155,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B156),DH Ca Electrode,Inventory Part,25B156,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B157),DH Ca Electrode,Inventory Part,25B157,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B158),DH Ca Electrode,Inventory Part,25B158,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ca (25B159),DH Ca Electrode,Inventory Part,25B159,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
